Set,N windows,Mean,Std,Min,Max,Skewness,Kurtosis
Train (2009-2022),3616,0.00036,0.01346,-0.13904,0.16334,-0.258,15.138
Test  (2023-2026),854,0.00032,0.00809,-0.06112,0.03747,-0.419,5.663
